Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
PRT  1996     1.664     0.853     0.575     0.153     0.048     0.036
PRT  1997     1.730     0.880     0.608     0.158     0.045     0.039
PRT  1998     1.853     0.964     0.634     0.170     0.052     0.033
PRT  1999     1.820     0.979     0.602     0.162     0.053     0.024
PRT  2000     1.730     0.962     0.568     0.138     0.036     0.026
PRT  2001     1.667     0.915     0.560     0.136     0.034     0.022
PRT  2002     1.780     1.009     0.570     0.145     0.034     0.021
PRT  2003     1.685     0.954     0.539     0.140     0.033     0.019
PRT  2004     1.587     0.865     0.526     0.137     0.041     0.019
PRT  2005     1.661     0.935     0.542     0.124     0.038     0.022
PRT  2006     1.552     0.866     0.524     0.116     0.030     0.016
PRT  2007     1.475     0.828     0.494     0.115     0.029     0.008
PRT  2008     1.594     0.914     0.526     0.117     0.025     0.012
PRT  2009     1.572     0.955     0.476     0.107     0.023     0.011
PRT  2010     1.764     1.046     0.558     0.118     0.031     0.011
PRT  2011     1.706     0.984     0.576     0.111     0.027     0.009
PRT  2012     1.591     0.983     0.462     0.111     0.025     0.011
PRT  2013     1.611     0.993     0.471     0.111     0.024     0.012
PRT  2014     1.597     0.938     0.519     0.107     0.024     0.010
PRT  2015     1.624     0.893     0.571     0.120     0.028     0.011
PRT  2016     1.560     0.797     0.590     0.128     0.031     0.013
PRT  2017     1.531     0.820     0.548     0.125     0.027     0.010
KOR  2001     1.690     0.842     0.688     0.144     0.014     0.002
KOR  2002     1.528     0.772     0.622     0.122     0.010     0.002
KOR  2003     1.608     0.831     0.650     0.114     0.011     0.002
KOR  2004     1.582     0.831     0.622     0.115     0.012     0.002
KOR  2005     1.399     0.733     0.548     0.106     0.010     0.002
KOR  2006     1.404     0.729     0.561     0.102     0.010     0.002
KOR  2007     1.520     0.818     0.576     0.114     0.011     0.002
KOR  2008     1.427     0.782     0.522     0.111     0.010     0.002
KOR  2009     1.418     0.781     0.521     0.104     0.011     0.002
KOR  2010     1.501     0.765     0.597     0.123     0.014     0.002
KOR  2011     1.488     0.782     0.566     0.124     0.014     0.003
KOR  2012     1.600     0.873     0.580     0.131     0.013     0.003
KOR  2013     1.479     0.814     0.530     0.120     0.012     0.003
KOR  2014     1.500     0.842     0.534     0.109     0.012     0.002
KOR  2015     1.520     0.848     0.548     0.108     0.013     0.003
KOR  2016     1.455     0.825     0.513     0.103     0.011     0.002
KOR  2017     1.404     0.806     0.479     0.102     0.015     0.003
RUS  1960     2.290     0.879     0.706     0.321     0.160     0.224
RUS  1961     2.290     0.925     0.683     0.319     0.153     0.210
RUS  1962     2.320     0.956     0.678     0.320     0.155     0.210
RUS  1963     2.244     0.959     0.658     0.293     0.144     0.190
RUS  1964     2.244     0.996     0.669     0.267     0.136     0.176
RUS  1965     2.100     0.911     0.642     0.257     0.124     0.166
RUS  1966     2.056     0.930     0.607     0.250     0.109     0.160
RUS  1967     1.964     0.916     0.574     0.219     0.106     0.150
RUS  1968     1.934     0.848     0.617     0.213     0.106     0.150
RUS  1969     1.922     0.833     0.668     0.198     0.092     0.131
RUS  1970     1.909     0.882     0.629     0.195     0.082     0.121
RUS  1971     1.948     0.909     0.620     0.209     0.088     0.122
RUS  1972     1.937     0.935     0.611     0.191     0.085     0.115
RUS  1973     1.827     0.916     0.565     0.173     0.067     0.106
RUS  1974     1.839     0.936     0.574     0.164     0.066     0.100
RUS  1975     1.794     0.918     0.580     0.148     0.061     0.088
RUS  1976     1.789     0.923     0.592     0.140     0.053     0.081
RUS  1977     1.798     0.908     0.622     0.143     0.051     0.075
RUS  1978     1.761     0.897     0.612     0.139     0.046     0.067
RUS  1979     1.731     0.911     0.584     0.133     0.043     0.060
RUS  1980     1.797     0.956     0.609     0.137     0.042     0.053
RUS  1981     1.854     0.950     0.653     0.155     0.047     0.050
RUS  1982     1.923     0.921     0.717     0.186     0.051     0.049
RUS  1983     2.014     0.920     0.786     0.207     0.053     0.048
RUS  1984     1.953     0.945     0.710     0.197     0.054     0.047
RUS  1985     2.088     0.982     0.761     0.229     0.064     0.051
RUS  1986     2.271     0.983     0.864     0.287     0.079     0.059
RUS  1987     2.173     0.979     0.809     0.260     0.071     0.055
RUS  1988     1.959     0.946     0.694     0.209     0.058     0.052
RUS  1989     1.787     0.893     0.619     0.175     0.053     0.048
RUS  1990     1.714     0.913     0.555     0.156     0.049     0.042
RUS  1991     1.645     0.932     0.487     0.140     0.043     0.042
RUS  1992     1.499     0.873     0.436     0.118     0.039     0.033
RUS  1993     1.358     0.790     0.417     0.099     0.030     0.021
RUS  1994     1.522     0.891     0.469     0.110     0.031     0.022
RUS  1995     1.627     0.974     0.475     0.123     0.033     0.023
RUS  1996     1.525     0.888     0.462     0.120     0.035     0.021
RUS  1997     1.445     0.808     0.467     0.115     0.034     0.021
RUS  1998     1.500     0.855     0.466     0.120     0.035     0.023
RUS  1999     1.439     0.857     0.417     0.113     0.032     0.021
RUS  2000     1.509     0.863     0.480     0.119     0.030     0.018
RUS  2001     1.472     0.808     0.503     0.111     0.031     0.019
RUS  2002     1.483     0.823     0.494     0.115     0.030     0.021
RUS  2003     1.534     0.856     0.506     0.120     0.032     0.020
RUS  2004     1.552     0.884     0.498     0.117     0.033     0.020
RUS  2005     1.472     0.846     0.468     0.110     0.030     0.018
RUS  2006     1.466     0.851     0.461     0.109     0.029     0.016
RUS  2007     1.611     0.862     0.546     0.144     0.038     0.022
RUS  2008     1.779     0.945     0.607     0.165     0.040     0.021
RUS  2009     1.880     1.043     0.611     0.167     0.039     0.020
RUS  2010     1.696     0.889     0.576     0.167     0.041     0.021
RUS  2011     1.580     0.804     0.553     0.163     0.040     0.021
RUS  2012     1.798     0.917     0.622     0.191     0.046     0.024
RUS  2013     1.848     0.951     0.628     0.198     0.047     0.024
SVK  1951     3.255     1.004     0.864     0.531     0.322     0.535
SVK  1952     3.383     1.000     0.918     0.580     0.350     0.534
SVK  1953     3.235     0.944     0.823     0.584     0.342     0.542
SVK  1954     3.188     0.863     0.830     0.604     0.347     0.544
SVK  1955     3.071     0.843     0.806     0.573     0.328     0.521
SVK  1956     3.020     0.909     0.755     0.531     0.328     0.497
SVK  1957     3.065     0.916     0.788     0.518     0.338     0.506
SVK  1958     2.853     0.854     0.780     0.481     0.283     0.456
SVK  1959     2.769     0.882     0.758     0.451     0.283     0.394
SVK  1960     2.904     0.882     0.847     0.515     0.264     0.396
SVK  1961     2.866     0.935     0.808     0.529     0.232     0.363
SVK  1962     2.803     0.922     0.783     0.477     0.281     0.340
SVK  1963     3.021     0.897     0.890     0.563     0.302     0.369
SVK  1964     2.901     0.909     0.842     0.520     0.259     0.370
SVK  1965     2.721     0.886     0.803     0.453     0.243     0.335
SVK  1966     2.651     0.844     0.795     0.454     0.232     0.327
SVK  1967     2.486     0.806     0.740     0.421     0.214     0.306
SVK  1968     2.390     0.812     0.706     0.388     0.196     0.287
SVK  1969     2.560     0.907     0.761     0.409     0.206     0.277
SVK  1970     2.628     0.946     0.820     0.422     0.193     0.248
SVK  1971     2.513     0.891     0.805     0.413     0.166     0.237
SVK  1972     2.435     0.867     0.769     0.409     0.183     0.206
SVK  1973     2.498     0.846     0.853     0.411     0.191     0.197
SVK  1974     2.512     0.907     0.841     0.426     0.164     0.173
SVK  1975     2.467     0.936     0.792     0.421     0.151     0.167
SVK  1976     2.478     0.920     0.816     0.414     0.160     0.167
SVK  1977     2.382     0.910     0.794     0.400     0.151     0.127
SVK  1978     2.336     0.927     0.788     0.386     0.132     0.104
SVK  1979     2.299     0.944     0.792     0.352     0.118     0.094
SVK  1980     2.265     0.933     0.765     0.340     0.125     0.101
SVK  1981     2.250     0.872     0.781     0.375     0.122     0.100
SVK  1982     2.208     0.875     0.785     0.360     0.109     0.079
SVK  1983     2.221     0.902     0.780     0.337     0.118     0.085
SVK  1984     2.196     0.902     0.755     0.338     0.124     0.077
SVK  1985     2.258     0.916     0.802     0.341     0.126     0.074
SVK  1986     2.239     0.908     0.813     0.340     0.104     0.074
SVK  1987     2.207     0.929     0.780     0.334     0.096     0.068
SVK  1988     2.189     0.920     0.779     0.307     0.107     0.077
SVK  1989     2.094     0.884     0.738     0.303     0.106     0.064
SVK  1990     2.058     0.832     0.717     0.330     0.118     0.062
SVK  1991     2.050     0.865     0.691     0.307     0.110     0.078
SVK  1992     2.104     0.894     0.731     0.312     0.096     0.070
SVK  1993     2.139     0.905     0.758     0.309     0.102     0.064
SVK  1994     1.965     0.838     0.700     0.265     0.091     0.072
SVK  1995     1.777     0.770     0.641     0.217     0.088     0.061
SVK  1996     1.775     0.748     0.627     0.238     0.089     0.072
SVK  1997     1.842     0.752     0.639     0.272     0.093     0.086
SVK  1998     1.771     0.748     0.610     0.243     0.091     0.078
SVK  1999     1.767     0.803     0.575     0.223     0.087     0.080
SVK  2000     1.658     0.761     0.538     0.192     0.076     0.091
SVK  2001     1.518     0.699     0.504     0.165     0.069     0.082
SVK  2002     1.615     0.789     0.516     0.167     0.064     0.078
SVK  2003     1.622     0.787     0.525     0.176     0.054     0.080
SVK  2004     1.696     0.873     0.513     0.177     0.058     0.076
SVK  2005     1.714     0.831     0.565     0.171     0.069     0.078
SVK  2006     1.680     0.791     0.577     0.175     0.058     0.079
SVK  2007     1.689     0.799     0.572     0.193     0.053     0.072
SVK  2008     1.745     0.892     0.546     0.185     0.057     0.065
SVK  2009     1.822     0.987     0.548     0.165     0.052     0.070
SVK  2010     1.905     1.091     0.536     0.163     0.049     0.066
SVK  2011     1.763     0.945     0.531     0.176     0.046     0.065
SVK  2012     1.591     0.792     0.526     0.161     0.056     0.056
SVK  2013     1.594     0.833     0.497     0.146     0.064     0.053
SVN  1984     1.837     0.928     0.685     0.172     0.033     0.019
SVN  1985     1.814     0.909     0.698     0.159     0.034     0.013
SVN  1986     1.718     0.838     0.688     0.145     0.032     0.015
SVN  1987     1.788     0.867     0.710     0.159     0.034     0.018
SVN  1988     1.856     0.940     0.697     0.163     0.043     0.012
SVN  1989     1.769     0.908     0.642     0.161     0.049     0.010
SVN  1990     1.789     0.902     0.682     0.154     0.027     0.024
SVN  1991     1.725     0.845     0.660     0.174     0.025     0.021
SVN  1992     1.725     0.924     0.577     0.169     0.044     0.010
SVN  1993     1.775     0.876     0.694     0.157     0.034     0.013
SVN  1994     1.678     0.795     0.693     0.149     0.028     0.014
SVN  1995     1.706     0.842     0.658     0.160     0.036     0.010
SVN  1996     1.724     0.864     0.647     0.167     0.030     0.015
SVN  1997     1.753     0.880     0.634     0.188     0.032     0.019
SVN  1998     1.662     0.864     0.594     0.166     0.026     0.012
SVN  1999     1.575     0.883     0.528     0.126     0.025     0.014
SVN  2000     1.653     0.877     0.605     0.130     0.031     0.010
SVN  2001     1.745     0.927     0.585     0.178     0.041     0.015
SVN  2002     1.644     0.873     0.554     0.158     0.044     0.015
SVN  2003     1.477     0.709     0.585     0.140     0.023     0.020
SVN  2004     1.604     0.780     0.596     0.164     0.023     0.042
SVN  2005     1.604     0.823     0.563     0.160     0.049     0.009
SVN  2006     1.592     0.819     0.561     0.153     0.047     0.011
SVN  2007     1.634     0.790     0.628     0.170     0.027     0.019
SVN  2008     1.710     0.826     0.641     0.190     0.038     0.015
SVN  2009     1.665     0.854     0.589     0.165     0.038     0.019
SVN  2010     1.725     0.886     0.612     0.168     0.043     0.016
SVN  2011     1.621     0.794     0.613     0.147     0.048     0.019
SVN  2012     1.618     0.826     0.594     0.149     0.034     0.016
SVN  2013     1.609     0.858     0.544     0.165     0.034     0.009
SVN  2014     1.650     0.869     0.585     0.155     0.024     0.017
SVN  2015     1.692     0.868     0.637     0.141     0.029     0.018
SVN  2016     1.617     0.793     0.618     0.157     0.035     0.014
ESP  1976     2.674     0.919     0.818     0.471     0.231     0.236
ESP  1977     2.583     0.909     0.792     0.447     0.221     0.214
ESP  1978     2.524     0.910     0.776     0.442     0.211     0.185
ESP  1979     2.578     1.044     0.801     0.392     0.192     0.149
ESP  1980     2.574     1.190     0.761     0.344     0.155     0.124
ESP  1981     2.306     1.032     0.700     0.328     0.132     0.115
ESP  1982     2.182     0.932     0.701     0.312     0.133     0.104
ESP  1983     2.050     0.851     0.680     0.302     0.124     0.093
ESP  1984     2.041     0.862     0.674     0.309     0.111     0.085
ESP  1985     1.939     0.864     0.639     0.271     0.095     0.070
ESP  1986     1.863     0.845     0.640     0.238     0.083     0.056
ESP  1987     1.754     0.808     0.608     0.216     0.076     0.045
ESP  1988     1.774     0.883     0.598     0.191     0.065     0.038
ESP  1989     1.803     0.947     0.600     0.173     0.053     0.030
ESP  1990     1.794     0.959     0.592     0.170     0.047     0.026
ESP  1991     1.847     1.031     0.601     0.152     0.040     0.023
ESP  1992     1.800     0.999     0.614     0.135     0.034     0.018
ESP  1993     1.726     0.947     0.600     0.131     0.030     0.018
ESP  1994     1.629     0.880     0.581     0.124     0.028     0.017
ESP  1995     1.476     0.711     0.589     0.133     0.028     0.015
ESP  1996     1.464     0.660     0.622     0.141     0.028     0.013
ESP  1997     1.482     0.745     0.584     0.117     0.024     0.012
ESP  1998     1.365     0.681     0.535     0.113     0.022     0.014
ESP  1999     1.338     0.684     0.520     0.103     0.019     0.011
ESP  2000     1.309     0.694     0.493     0.095     0.017     0.010
ESP  2001     1.305     0.703     0.483     0.091     0.018     0.010
ESP  2002     1.344     0.747     0.477     0.091     0.019     0.009
ESP  2003     1.368     0.764     0.480     0.095     0.018     0.010
ESP  2004     1.367     0.762     0.479     0.097     0.018     0.011
ESP  2005     1.352     0.750     0.484     0.091     0.018     0.010
ESP  2006     1.313     0.749     0.455     0.084     0.017     0.008
ESP  2007     1.299     0.746     0.435     0.087     0.020     0.010
ESP  2008     1.579     0.909     0.536     0.099     0.022     0.012
ESP  2009     1.702     1.030     0.539     0.101     0.021     0.011
ESP  2010     1.709     1.002     0.558     0.111     0.026     0.012
ESP  2011     1.637     0.926     0.564     0.112     0.023     0.011
ESP  2012     1.504     0.844     0.529     0.100     0.020     0.011
ESP  2013     1.439     0.820     0.498     0.093     0.020     0.009
ESP  2014     1.466     0.825     0.506     0.104     0.022     0.010
ESP  2015     1.460     0.810     0.508     0.109     0.023     0.010
SWE  1971     1.921     0.822     0.687     0.266     0.092     0.054
SWE  1972     1.918     0.836     0.693     0.255     0.087     0.048
SWE  1973     1.893     0.846     0.676     0.250     0.084     0.037
SWE  1974     1.959     0.917     0.675     0.264     0.067     0.036
SWE  1975     2.025     0.975     0.683     0.268     0.062     0.037
SWE  1976     1.948     0.916     0.692     0.247     0.064     0.029
SWE  1977     1.872     0.868     0.705     0.222     0.056     0.022
SWE  1978     1.931     0.844     0.772     0.235     0.056     0.024
SWE  1979     1.973     0.840     0.761     0.278     0.067     0.028
SWE  1980     1.917     0.822     0.725     0.274     0.070     0.026
SWE  1981     1.883     0.801     0.711     0.276     0.070     0.025
SWE  1982     1.880     0.836     0.674     0.283     0.062     0.025
SWE  1983     1.894     0.848     0.666     0.288     0.066     0.026
SWE  1984     1.878     0.792     0.700     0.288     0.071     0.027
SWE  1985     1.889     0.771     0.708     0.307     0.078     0.025
SWE  1986     1.997     0.819     0.721     0.342     0.087     0.028
SWE  1987     1.964     0.811     0.706     0.329     0.084     0.033
SWE  1988     2.021     0.848     0.705     0.334     0.100     0.035
SWE  1989     2.060     0.883     0.700     0.340     0.102     0.035
SWE  1990     2.251     0.996     0.751     0.357     0.105     0.041
SWE  1991     2.395     1.111     0.778     0.349     0.104     0.052
SWE  1992     2.358     1.068     0.804     0.330     0.108     0.048
SWE  1993     2.304     0.966     0.830     0.340     0.114     0.053
SWE  1994     2.221     0.866     0.868     0.332     0.103     0.052
SWE  1995     2.089     0.813     0.822     0.321     0.091     0.042
SWE  1996     1.929     0.784     0.744     0.279     0.079     0.043
SWE  1997     1.869     0.788     0.701     0.261     0.076     0.043
SWE  1998     1.828     0.779     0.673     0.260     0.074     0.042
SWE  1999     1.701     0.695     0.648     0.253     0.069     0.037
SWE  2000     1.839     0.804     0.640     0.272     0.079     0.043
SWE  2001     1.875     0.868     0.644     0.254     0.074     0.036
SWE  2002     1.943     0.914     0.680     0.245     0.067     0.036
SWE  2003     2.041     0.982     0.699     0.251     0.070     0.039
SWE  2004     1.978     0.901     0.720     0.249     0.070     0.038
SWE  2005     1.955     0.868     0.730     0.253     0.075     0.031
SWE  2006     2.023     0.892     0.757     0.265     0.071     0.038
SWE  2007     1.940     0.862     0.725     0.247     0.067     0.038
SWE  2008     2.016     0.931     0.725     0.258     0.069     0.032
SWE  2009     2.078     0.962     0.758     0.260     0.063     0.037
SWE  2010     2.074     0.953     0.754     0.267     0.062     0.039
SWE  2011     1.995     0.905     0.728     0.258     0.066     0.038
SWE  2012     1.980     0.897     0.743     0.240     0.066     0.034
SWE  2013     1.921     0.871     0.714     0.240     0.063     0.033
SWE  2014     1.889     0.830     0.698     0.254     0.066     0.040
SWE  2015     1.903     0.795     0.718     0.271     0.071     0.049
SWE  2016     1.958     0.814     0.721     0.280     0.086     0.057
SWE  2017     1.857     0.784     0.661     0.282     0.083     0.046
CHE  1999     1.641     0.793     0.582     0.194     0.049     0.022
CHE  2000     1.832     0.888     0.642     0.224     0.057     0.022
CHE  2001     1.645     0.809     0.575     0.200     0.047     0.014
CHE  2002     1.585     0.781     0.572     0.172     0.044     0.016
CHE  2003     1.648     0.848     0.573     0.176     0.040     0.012
CHE  2004     1.707     0.889     0.582     0.180     0.040     0.015
CHE  2005     1.665     0.854     0.570     0.184     0.040     0.017
CHE  2006     1.679     0.874     0.569     0.187     0.038     0.011
CHE  2007     1.706     0.874     0.612     0.167     0.039     0.014
CHE  2008     1.753     0.869     0.654     0.175     0.042     0.013
CHE  2009     1.740     0.875     0.632     0.181     0.043     0.009
CHE  2010     1.742     0.901     0.618     0.177     0.036     0.009
CHE  2011     1.730     0.872     0.627     0.182     0.038     0.011
CHE  2012     1.670     0.849     0.599     0.172     0.040     0.011
CHE  2013     1.712     0.881     0.604     0.181     0.035     0.011
CHE  2014     1.731     0.857     0.633     0.191     0.038     0.013
CHE  2015     1.638     0.797     0.622     0.170     0.038     0.012
CHE  2016     1.649     0.807     0.621     0.172     0.038     0.012
CHE  2017     1.659     0.843     0.589     0.176     0.040     0.011
TWN  1977     2.760     0.938     0.776     0.507     0.288     0.250
TWN  1978     2.906     0.997     0.893     0.559     0.255     0.202
TWN  1979     2.834     0.978     0.886     0.562     0.230     0.177
TWN  1980     2.794     0.933     0.916     0.582     0.224     0.139
TWN  1981     2.762     0.969     0.881     0.587     0.216     0.109
TWN  1982     2.664     0.984     0.848     0.547     0.195     0.091
TWN  1983     2.552     0.962     0.851     0.495     0.172     0.073
TWN  1984     2.478     0.936     0.881     0.432     0.160     0.068
TWN  1985     2.319     0.865     0.845     0.408     0.138     0.063
TWN  1986     2.037     0.808     0.714     0.356     0.111     0.048
TWN  1987     2.053     0.821     0.746     0.361     0.095     0.031
TWN  1988     2.319     0.846     0.839     0.481     0.121     0.033
TWN  1989     2.042     0.819     0.712     0.384     0.094     0.033
TWN  1990     2.053     0.846     0.733     0.368     0.082     0.024
TWN  1991     1.978     0.802     0.709     0.363     0.081     0.023
TWN  1992     1.974     0.867     0.690     0.324     0.070     0.024
TWN  1993     2.027     0.909     0.700     0.329     0.071     0.017
TWN  1994     2.052     0.928     0.723     0.323     0.065     0.014
TWN  1995     1.999     0.903     0.725     0.300     0.056     0.014
TWN  1996     2.029     0.903     0.753     0.305     0.054     0.014
TWN  1997     2.123     0.933     0.800     0.322     0.054     0.014
TWN  1998     1.798     0.874     0.623     0.246     0.046     0.010
TWN  1999     1.811     0.851     0.684     0.228     0.040     0.008
TWN  2000     1.863     0.796     0.725     0.278     0.053     0.011
TWN  2001     1.563     0.762     0.558     0.203     0.033     0.008
TWN  2002     1.584     0.824     0.553     0.170     0.031     0.007
TWN  2003     1.513     0.795     0.540     0.144     0.027     0.006
TWN  2004     1.486     0.780     0.546     0.133     0.021     0.007
TWN  2005     1.554     0.824     0.578     0.126     0.020     0.006
TWN  2006     1.668     0.959     0.565     0.120     0.018     0.006
TWN  2007     1.602     0.871     0.584     0.119     0.021     0.007
TWN  2008     1.543     0.833     0.560     0.124     0.021     0.006
TWN  2009     1.559     0.801     0.609     0.125     0.018     0.006
TWN  2010     1.228     0.643     0.460     0.100     0.017     0.007
TWN  2011     1.287     0.700     0.465     0.098     0.018     0.006
TWN  2012     1.536     0.810     0.574     0.127     0.020     0.006
TWN  2013     1.260     0.678     0.452     0.106     0.017     0.006
UKR  1960     2.008     0.918     0.626     0.261     0.104     0.099
UKR  1961     2.139     0.857     0.829     0.262     0.095     0.096
UKR  1962     2.180     0.965     0.747     0.274     0.099     0.094
UKR  1963     2.062     0.993     0.645     0.251     0.094     0.080
UKR  1964     2.114     1.050     0.673     0.235     0.083     0.073
UKR  1965     1.916     0.901     0.642     0.226     0.079     0.068
UKR  1966     1.957     0.918     0.654     0.229     0.083     0.072
UKR  1967     1.892     0.902     0.642     0.212     0.070     0.065
UKR  1968     1.918     0.919     0.657     0.209     0.069     0.065
UKR  1969     1.880     0.878     0.697     0.187     0.064     0.055
UKR  1970     1.977     0.904     0.750     0.200     0.065     0.057
UKR  1971     2.053     0.982     0.721     0.225     0.064     0.060
UKR  1972     2.129     1.117     0.685     0.213     0.060     0.054
UKR  1973     1.906     1.002     0.612     0.181     0.059     0.051
UKR  1974     1.805     0.913     0.608     0.169     0.061     0.055
UKR  1975     1.829     0.920     0.628     0.176     0.054     0.051
UKR  1976     1.855     0.946     0.638     0.173     0.050     0.048
UKR  1977     1.807     0.910     0.637     0.159     0.052     0.048
UKR  1978     1.781     0.917     0.629     0.143     0.046     0.046
UKR  1979     1.816     0.957     0.637     0.141     0.041     0.040
UKR  1980     1.860     0.979     0.652     0.147     0.041     0.043
UKR  1981     1.779     0.903     0.644     0.147     0.042     0.042
UKR  1982     1.811     0.923     0.660     0.145     0.046     0.037
UKR  1983     1.992     0.947     0.782     0.181     0.044     0.038
UKR  1984     1.941     0.968     0.715     0.177     0.042     0.039
UKR  1985     2.001     0.987     0.738     0.185     0.049     0.041
UKR  1986     2.096     0.980     0.804     0.209     0.057     0.046
UKR  1987     1.990     0.973     0.754     0.175     0.047     0.042
UKR  1988     1.943     0.981     0.713     0.163     0.044     0.042
UKR  1989     1.742     0.904     0.619     0.140     0.040     0.039
UKR  1990     1.672     0.917     0.560     0.127     0.034     0.034
UKR  1991     1.651     0.930     0.525     0.128     0.037     0.031
UKR  1992     1.605     0.908     0.508     0.120     0.036     0.033
UKR  1993     1.566     0.881     0.504     0.114     0.034     0.033
UKR  1994     1.473     0.854     0.460     0.103     0.031     0.026
UKR  1995     1.420     0.839     0.434     0.096     0.028     0.024
UKR  1996     1.469     0.878     0.437     0.098     0.029     0.025
UKR  1997     1.465     0.874     0.434     0.100     0.030     0.026
UKR  1998     1.428     0.861     0.417     0.095     0.029     0.026
UKR  1999     1.367     0.808     0.415     0.092     0.026     0.026
UKR  2000     1.396     0.811     0.441     0.096     0.025     0.024
UKR  2001     1.345     0.766     0.446     0.086     0.026     0.021
UKR  2002     1.371     0.762     0.474     0.090     0.025     0.020
UKR  2003     1.465     0.819     0.501     0.099     0.025     0.022
UKR  2004     1.492     0.862     0.488     0.093     0.027     0.022
UKR  2005     1.403     0.815     0.449     0.091     0.026     0.022
UKR  2006     1.469     0.822     0.489     0.104     0.029     0.025
UKR  2007     1.492     0.824     0.511     0.104     0.029     0.023
UKR  2008     1.619     0.890     0.549     0.123     0.031     0.025
UKR  2009     1.660     0.937     0.529     0.132     0.035     0.028
UKR  2010     1.580     0.847     0.528     0.137     0.038     0.030
UKR  2011     1.564     0.778     0.560     0.154     0.041     0.031
UKR  2012     1.625     0.828     0.560     0.162     0.043     0.033
GBR_NP  2014     2.153     0.842     0.790     0.330     0.118     0.073
GBR_NP  2015     2.142     0.810     0.811     0.321     0.125     0.075
GBRTENW  2014     2.184     0.827     0.816     0.341     0.123     0.077
GBRTENW  2015     2.187     0.808     0.840     0.332     0.129     0.079
GBR_SCO  2014     1.800     0.982     0.535     0.197     0.055     0.032
GBR_SCO  2015     1.656     0.793     0.559     0.189     0.080     0.036
GBR_NIR  1998     1.998     0.759     0.610     0.392     0.142     0.096
GBR_NIR  1999     2.044     0.818     0.630     0.351     0.163     0.081
GBR_NIR  2000     2.093     0.926     0.646     0.299     0.151     0.071
GBR_NIR  2001     2.207     0.945     0.736     0.321     0.111     0.094
GBR_NIR  2002     2.073     0.885     0.675     0.324     0.113     0.076
GBR_NIR  2003     2.170     0.970     0.694     0.321     0.120     0.066
GBR_NIR  2004     2.166     0.906     0.743     0.345     0.123     0.049
GBR_NIR  2005     1.970     0.812     0.657     0.325     0.129     0.048
GBR_NIR  2006     2.119     0.941     0.679     0.314     0.113     0.072
GBR_NIR  2007     2.153     0.949     0.675     0.347     0.117     0.065
GBR_NIR  2008     2.145     0.878     0.718     0.367     0.123     0.059
GBR_NIR  2009     2.169     0.972     0.709     0.332     0.102     0.054
GBR_NIR  2010     2.160     0.940     0.705     0.345     0.120     0.050
GBR_NIR  2011     2.216     0.975     0.696     0.353     0.143     0.050
GBR_NIR  2012     2.305     1.054     0.760     0.320     0.116     0.053
GBR_NIR  2013     2.137     0.867     0.779     0.318     0.116     0.055
GBR_NIR  2014     2.206     0.910     0.766     0.342     0.129     0.059
GBR_NIR  2015     2.217     0.951     0.726     0.364     0.119     0.056
USA  1934     2.101     0.654     0.477     0.304     0.197     0.469
USA  1935     2.098     0.741     0.444     0.289     0.187     0.437
USA  1936     2.011     0.740     0.435     0.262     0.176     0.398
USA  1937     2.060     0.762     0.478     0.258     0.172     0.391
USA  1938     2.170     0.831     0.522     0.272     0.170     0.375
USA  1939     2.107     0.844     0.520     0.262     0.151     0.329
USA  1940     2.158     0.828     0.563     0.283     0.157     0.327
USA  1941     2.331     0.887     0.609     0.322     0.177     0.336
USA  1942     2.615     1.012     0.704     0.373     0.192     0.334
USA  1943     2.814     0.907     0.873     0.456     0.226     0.353
USA  1944     3.071     0.840     0.997     0.582     0.265     0.387
USA  1945     2.638     0.894     0.654     0.475     0.245     0.369
USA  1946     2.507     0.964     0.603     0.370     0.227     0.343
USA  1947     2.493     0.959     0.637     0.357     0.213     0.327
USA  1948     2.400     0.917     0.649     0.347     0.186     0.301
USA  1949     2.646     0.932     0.798     0.394     0.204     0.318
USA  1950     2.737     0.851     0.870     0.466     0.227     0.322
USA  1951     2.988     0.946     0.889     0.563     0.262     0.328
USA  1952     3.066     0.939     0.862     0.614     0.309     0.342
USA  1953     3.038     0.892     0.850     0.594     0.334     0.368
USA  1954     3.150     0.935     0.848     0.610     0.352     0.405
USA  1955     3.125     0.905     0.816     0.610     0.356     0.437
USA  1956     3.259     0.930     0.843     0.625     0.382     0.479
USA  1957     3.390     0.987     0.854     0.645     0.399     0.505
USA  1958     3.353     0.948     0.839     0.634     0.398     0.534
USA  1959     3.423     0.924     0.864     0.642     0.417     0.577
USA  1960     3.496     0.906     0.883     0.677     0.429     0.602
USA  1961     3.490     0.888     0.846     0.682     0.441     0.633
USA  1962     3.483     0.865     0.825     0.673     0.457     0.662
USA  1963     3.644     0.927     0.841     0.694     0.476     0.705
USA  1964     3.640     0.926     0.828     0.687     0.470     0.729
USA  1965     3.298     0.819     0.755     0.614     0.426     0.685
USA  1966     2.958     0.821     0.688     0.518     0.360     0.571
USA  1967     2.822     0.860     0.706     0.465     0.303     0.487
USA  1968     2.662     0.871     0.711     0.428     0.258     0.393
USA  1969     2.507     0.803     0.692     0.422     0.247     0.342
USA  1970     2.535     0.858     0.691     0.412     0.237     0.336
